Mouse,Date,Trial Type,Neuron1,Neuron2,Angular Difference,Inhibitory Population,Normalization Index (NI) Neuron1,Normalization Index (NI) Neuron2,OSI Neuron1,OSI Neuron2,Exc-Exc Noise Correlation,Exc-Red Noise Correlation,Red-Red Noise Correlation
30N,62924,Grating,0,1,135.0,SST,0.5361993787558806,0.67721038325484,0.1616080488150874,0.5110519944316614,-0.0168226861997177,,
30N,62924,Grating,0,2,135.0,SST,0.5361993787558806,0.4309085174608593,0.1616080488150874,0.1855950495430517,0.0135024412973775,,
30N,62924,Grating,0,3,90.0,SST,0.5361993787558806,-0.036003188263396,0.1616080488150874,0.3457462077623844,-0.01979807117487,,
30N,62924,Grating,0,4,90.0,SST,0.5361993787558806,0.4406550218499901,0.1616080488150874,0.1896578437006615,,-0.0314904054992266,
30N,62924,Grating,0,5,22.5,SST,0.5361993787558806,0.4059920426721453,0.1616080488150874,0.359637859394149,-0.0367805057821577,,
30N,62924,Grating,0,6,22.5,SST,0.5361993787558806,0.2483767703573141,0.1616080488150874,0.2556881230453111,-0.0194563604407983,,
30N,62924,Grating,0,7,22.5,SST,0.5361993787558806,-0.2837675635681971,0.1616080488150874,0.2594447394160984,-0.0147781010467792,,
30N,62924,Grating,0,8,22.5,SST,0.5361993787558806,0.444624935972062,0.1616080488150874,0.1797153259287722,0.0350512821003623,,
30N,62924,Grating,0,9,112.5,SST,0.5361993787558806,0.4632259742351371,0.1616080488150874,0.2999796309564465,-0.0043061767346052,,
30N,62924,Grating,0,10,22.5,SST,0.5361993787558806,0.3243308252905618,0.1616080488150874,0.2664003535309552,0.008765287153341,,
30N,62924,Grating,0,11,22.5,SST,0.5361993787558806,0.139959729174956,0.1616080488150874,0.2360943618885202,0.0251029143236287,,
30N,62924,Grating,0,12,135.0,SST,0.5361993787558806,0.6825990889659305,0.1616080488150874,0.5925869543837662,0.01431759948635,,
30N,62924,Grating,0,13,22.5,SST,0.5361993787558806,0.2839460100331841,0.1616080488150874,0.2149367929585471,,0.0176218114125416,
30N,62924,Grating,0,14,22.5,SST,0.5361993787558806,0.4783517514001817,0.1616080488150874,0.1716294472012357,-0.0061837170085159,,
30N,62924,Grating,0,15,22.5,SST,0.5361993787558806,0.0119829758440399,0.1616080488150874,0.2129006371669866,-0.0138564626760361,,
30N,62924,Grating,0,16,45.0,SST,0.5361993787558806,-0.0309092172009801,0.1616080488150874,0.2450767573698955,0.0273590820829989,,
30N,62924,Grating,0,17,135.0,SST,0.5361993787558806,0.5583661163371278,0.1616080488150874,0.2932251982958356,0.0370310107923647,,
30N,62924,Grating,0,18,22.5,SST,0.5361993787558806,0.4239245202589358,0.1616080488150874,0.2292250708961149,0.019605988076771,,
30N,62924,Grating,0,19,135.0,SST,0.5361993787558806,0.1893725397113057,0.1616080488150874,0.12705089100795,-0.0013956418176242,,
30N,62924,Grating,0,20,135.0,SST,0.5361993787558806,0.3961817661219455,0.1616080488150874,0.2916108653204953,-0.0144438787773306,,
30N,62924,Grating,0,21,135.0,SST,0.5361993787558806,0.3537033707402778,0.1616080488150874,0.2455825809341067,-0.0164696643964206,,
30N,62924,Grating,0,22,22.5,SST,0.5361993787558806,0.4885236292178151,0.1616080488150874,0.3251575214770621,0.0094431799650657,,
30N,62924,Grating,0,23,22.5,SST,0.5361993787558806,0.3462866879211442,0.1616080488150874,0.2867028457782862,0.0109611458832266,,
30N,62924,Grating,1,0,135.0,SST,0.67721038325484,0.5361993787558806,0.5110519944316614,0.1616080488150874,-0.0168226861997177,,
30N,62924,Grating,1,2,0.0,SST,0.67721038325484,0.4309085174608593,0.5110519944316614,0.1855950495430517,-0.0225047673996001,,
30N,62924,Grating,1,3,45.0,SST,0.67721038325484,-0.036003188263396,0.5110519944316614,0.3457462077623844,-0.0671873899240922,,
30N,62924,Grating,1,4,45.0,SST,0.67721038325484,0.4406550218499901,0.5110519944316614,0.1896578437006615,,-0.0739347837651651,
30N,62924,Grating,1,5,157.5,SST,0.67721038325484,0.4059920426721453,0.5110519944316614,0.359637859394149,0.0116588308843996,,
30N,62924,Grating,1,6,157.5,SST,0.67721038325484,0.2483767703573141,0.5110519944316614,0.2556881230453111,0.0003728385116743,,
30N,62924,Grating,1,7,157.5,SST,0.67721038325484,-0.2837675635681971,0.5110519944316614,0.2594447394160984,0.0244395123088009,,
30N,62924,Grating,1,8,157.5,SST,0.67721038325484,0.444624935972062,0.5110519944316614,0.1797153259287722,0.0312354798114758,,
