Mouse,Date,Neuron,Group,Fano Factor
18S,071924,0,Preferred,5.5981834573591565
18S,071924,0,Null,6.662720023330513
18S,071924,0,Plaid,5.44593378683876
18S,071924,0,Grating,7.24790448414792
18S,071924,0,Plaid Pref/Null,5.44593378683876
18S,071924,1,Preferred,0.527031608479817
18S,071924,1,Null,0.3847511731026201
18S,071924,1,Plaid,0.2458990336730843
18S,071924,1,Grating,0.5109195836106851
18S,071924,1,Plaid Pref/Null,0.2458990336730843
18S,071924,2,Preferred,2.1383284216308183
18S,071924,2,Null,1.7963822393723812
18S,071924,2,Plaid,2.051937240389487
18S,071924,2,Grating,1.7921279447740317
18S,071924,2,Plaid Pref/Null,2.051937240389487
18S,071924,3,Preferred,2.8070779728567463
18S,071924,3,Null,2.741056941641649
18S,071924,3,Plaid,2.6858470641082453
18S,071924,3,Grating,1.153188515500924
18S,071924,3,Plaid Pref/Null,2.6858470641082453
18S,071924,4,Preferred,2.693717239008667
18S,071924,4,Null,5.153400041136604
18S,071924,4,Plaid,4.95025200082863
18S,071924,4,Grating,5.641426591989043
18S,071924,4,Plaid Pref/Null,4.95025200082863
18S,071924,5,Preferred,7.3813494261597254
18S,071924,5,Null,3.8148915280913283
18S,071924,5,Plaid,1.384487704808818
18S,071924,5,Grating,6.4076920601356715
18S,071924,5,Plaid Pref/Null,1.384487704808818
18S,071924,6,Preferred,2.9638071293380808
18S,071924,6,Null,1.8351119898103492
18S,071924,6,Plaid,2.247526802268846
18S,071924,6,Grating,1.4451831488018057
18S,071924,6,Plaid Pref/Null,2.247526802268846
18S,071924,7,Preferred,2.3561235293183813
18S,071924,7,Null,2.5282855124795995
18S,071924,7,Plaid,1.6628618302581024
18S,071924,7,Grating,4.092937356390589
18S,071924,7,Plaid Pref/Null,1.6628618302581024
18S,071924,8,Preferred,3.817619563412361
18S,071924,8,Null,3.2386058744426065
18S,071924,8,Plaid,3.4508596949788055
18S,071924,8,Grating,4.470376883975162
